DB,TE,QB,OL,LB,DE,ST,DL,RB,WR,Improvement?,New Coach,New QB
6,0,1,1,3,3,0,4,3,-3,Better,1,0
-10,-6,0,6,-7,13,-2,-19,1,12,Better,1,1
-2,2,1,0,-13,-3,-1,-7,3,-1,Worse,0,0
-4,0,3,9,-3,-4,0,-1,3,0,Better,0,0
-3,2,2,14,-6,5,1,-16,3,3,Better,1,0
3,-4,-4,-10,-2,16,2,-13,-3,1,Worse,1,1
-3,3,1,6,0,3,-1,-1,0,1,Better,0,0
-9,-4,-8,-13,-5,-8,-3,-6,-4,-7,Worse,0,1
-7,-3,-9,-31,2,-8,1,-3,-5,-16,Worse,0,1
7,1,-1,1,17,1,4,13,-2,2,Better,0,1
11,-1,2,8,1,9,2,-3,8,1,Better,0,0
9,-1,0,-1,-9,16,3,8,3,-3,Better,0,0
4,-2,-4,-6,-4,3,3,0,1,-5,Worse,0,0
2,-3,-2,-3,4,-3,3,0,-2,2,Worse,0,1
-5,-2,-6,-11,-21,15,4,-8,0,-2,Worse,0,0
-5,1,-2,2,0,-4,0,-2,-1,0,Better,0,0
0,6,0,-6,-1,-8,1,5,-2,-7,Worse,1,1
10,2,-1,8,10,0,1,7,1,0,Better,1,0
3,-2,-2,2,6,7,2,-15,-3,-2,Better,0,0
3,5,-2,-13,6,8,1,-2,-3,-16,Worse,0,0
6,-3,1,5,9,14,1,-13,5,6,Better,0,1
-2,4,6,5,-12,5,3,-13,1,0,Worse,1,1
-5,6,-3,-1,-9,-1,3,-2,-1,-9,Worse,1,0
3,-3,-2,1,1,7,2,-9,3,2,Worse,0,0
-10,0,8,15,-12,7,-4,-12,4,12,Worse,1,1
14,3,-1,2,24,-1,-2,11,6,-5,Better,0,0
-3,3,5,7,-3,19,4,-13,2,0,Better,0,1
-13,-1,-4,-13,0,14,-2,-24,-9,-11,Worse,0,0
11,-2,-2,-5,9,6,2,5,-1,-3,Better,1,0
-8,3,4,15,-4,11,0,-8,11,2,Better,0,0
-1,1,-3,1,4,-4,0,-2,-4,-4,Worse,1,0
6,2,10,13,18,-4,1,1,3,9,Better,1,1
