team,seasonweek,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19
KAN,202202,0.08367534,0.16334435,-0.3214298,0.22746041,0.24100369,0.38612792,0.19218862,0.1009902,-0.16140664,-0.1316509,-0.29157764,-0.14186892,-0.008108628,-0.025060141,0.07841156,-0.1875323,0.057720665,-0.051206116,-0.34292692,-0.20338081
SDG,202202,0.42146763,-0.24772945,0.120886825,0.07738497,-0.062530756,0.08544226,-0.0038723403,-0.17722909,0.3506834,0.13668407,-0.06983133,-0.21676928,-0.18993765,-0.19854732,-0.034234595,-0.14895394,-0.12362421,-0.53212845,-0.26248306,-0.076916546
CRD,202202,0.45430875,-0.2898201,-0.0077176904,-0.059410878,-0.33113575,0.051215123,-0.45710927,0.3946916,0.16561106,0.22699612,0.028431272,-0.15928628,0.08153291,-0.0773612,-0.07496709,-0.19512835,0.112534076,0.034473978,0.30233946,0.19745027
ATL,202202,-0.39156243,0.29704952,0.0123505695,-0.23494004,0.118385345,0.017012568,0.6462613,0.24467294,0.36748764,0.250056,-0.19653073,0.16137591,0.34592605,-0.383529,-0.28596988,0.24688613,0.30525023,0.09085675,0.3366136,0.19590688
RAV,202202,-0.16447194,-0.16294171,-0.4578585,0.15960118,-0.009500241,0.33708027,0.4408093,0.05189387,0.52294385,-0.025415258,-0.14489089,-0.024968894,-0.47392488,-0.14008446,-0.42416024,-0.14879036,0.37567872,-0.49144843,0.012060777,0.094055444
CAR,202202,0.02807363,0.44968012,-0.14474642,-0.16514716,-0.008581636,0.051166914,-0.16746141,0.4605439,-0.1148054,0.26503453,-0.30772197,0.15108767,0.14650309,-0.05425394,-0.27400976,0.3507078,0.25760847,0.17532937,0.15315965,0.11564218
CHI,202202,-0.4946718,0.53148633,-0.083600864,-0.5959942,0.43194947,-0.1982007,0.1509556,0.03521091,-0.47263664,0.058370378,-0.54582983,0.528674,0.10966472,0.46717438,-0.18483579,0.69587314,-0.14521784,0.05029866,0.30503166,-0.38451755
CIN,202202,0.03788601,-0.046191245,0.2560512,-0.38272572,0.19196713,-0.34665045,0.08335095,0.06278,0.11628049,0.10417431,-0.18395725,-0.06834183,0.40985116,0.23936127,-0.08210425,0.0047524357,0.18116406,0.25531498,0.091305606,0.11041637
CLE,202202,-0.40134448,-0.52489823,0.2669396,0.2002475,0.16481295,-0.13129465,-0.50571615,-0.51375335,0.17295958,0.05368216,0.4488769,-0.44412076,-0.4370276,0.019711051,0.1572924,-0.29534858,-0.020760745,-0.254531,0.22519253,0.33017817
DAL,202202,0.2997129,0.4752663,-0.49516496,0.4772472,0.18627064,-0.01220419,-0.28403974,0.08374429,-0.014574439,-0.029436775,-0.36359766,-0.24753632,-0.2461486,-0.12250173,0.4126681,0.059647355,-0.2768204,0.011843511,-0.34619617,-0.19000567
DEN,202202,0.2849673,0.14558984,-0.17700481,0.09062012,0.043509334,-0.1432913,-0.21842237,-0.026323594,-0.2789271,-0.110114,0.37897104,0.0020155988,0.05639543,0.6263581,0.1871669,-0.16846307,0.02043918,0.1793601,-0.36649966,0.4943554
DET,202202,-0.108809635,0.12664215,-0.36477885,0.2986126,0.25670922,-0.021691807,0.059311632,-0.1697964,0.14128223,-0.17896608,-0.3358778,0.35132167,-0.15070167,0.0970067,-0.28628752,-0.117832795,0.21465829,-0.060780317,0.056691047,0.119347624
GNB,202202,0.0681378,-0.13966574,-0.088576496,0.42573565,0.49385384,-0.67475593,-0.27687111,-0.64710665,-0.5974589,-0.065875195,0.6976779,-0.80224293,-0.32419395,0.42344743,0.14505197,-0.008610442,-0.06618228,0.024806626,-0.39599004,0.54724884
HTX,202202,0.439601,0.22821218,-0.099631995,-0.39855298,-0.20798446,0.2027146,-0.033466354,0.70215166,-0.023731338,0.19203682,-0.42293158,-0.047734983,0.23171291,0.13665697,0.14341748,0.12619932,0.46635377,0.10818533,-0.17869958,0.1541713
CLT,202202,-0.2803929,0.51571834,0.15853833,-0.4747181,0.1264311,-0.1600805,0.6547497,0.43756017,0.11395064,0.15593596,-0.6485583,0.22098476,0.6025174,-0.26929346,-0.26309592,0.79792154,-0.16969535,0.16960332,0.43526915,-0.614002
JAX,202202,0.62047875,-0.13247202,-0.7999099,0.49186486,0.21397097,-0.2574465,-0.30057177,-0.3621065,-0.31770238,-0.60220194,0.4207955,-0.7743538,-0.63636726,0.41679546,0.5914591,-0.44970137,-0.16402224,0.037865978,-0.77973557,0.5459889
RAM,202202,0.29482195,-0.022064187,-0.07542805,0.3504832,-0.16627656,0.16993222,-0.067645736,0.0009790316,0.038936947,-0.20433372,0.1753378,-0.438981,-0.5583526,-0.31803992,0.4580621,-0.0966843,-0.33137918,-0.30691123,-0.42141667,-0.18214832
RAI,202202,0.10558085,0.022415776,0.17662016,-0.0037964587,-0.20632493,0.11713674,0.14957532,0.20919323,-0.16777985,-0.50877213,-0.17935285,-0.2161355,-0.5140449,-0.25654024,0.07372329,-0.15424457,0.5052561,-0.18124808,-0.068004265,-0.05135535
MIA,202202,0.13983059,-0.30461118,0.56466144,0.04899952,-0.16901131,0.07048318,0.7316198,-0.10480925,0.417396,-0.03328176,-0.11104978,-0.22659831,-0.66052204,-0.12141361,-0.44765532,-0.17959271,0.11168193,-0.77889866,-0.06987453,-0.21767172
NOR,202202,0.5111843,-0.1147885,0.09457307,-0.23121467,-0.2847564,0.33148617,0.5721715,0.38793093,0.11247114,0.40284145,-0.11351669,0.25010687,0.4329437,-0.64502656,-0.7943864,0.026535243,0.5639522,-0.27321428,0.14255562,0.07249715
NWE,202202,0.49969965,-0.3944159,-0.47834033,0.36653006,0.12950632,0.05106855,-0.4035443,-0.21416187,-0.17951995,-0.24061096,0.31854296,-0.26200244,-0.11015096,0.24549927,0.4277883,-0.006665712,-0.025617516,-0.1932215,0.21188842,0.42282152
NYG,202202,0.3395008,0.056361545,0.001255743,-0.23599775,0.097232625,-0.24273479,-0.3050136,-0.06821818,-0.17752554,-0.0792489,0.31565815,-0.33468476,-0.10722078,0.39564764,0.3177741,-0.17311119,0.0919196,0.046473697,-0.27123082,0.4126997
NYJ,202202,-0.026419403,-0.17234574,-0.107621506,0.116855405,-0.13071425,0.0900475,0.69124186,0.23206085,0.008337075,-0.27387217,-0.15633348,-0.009752084,0.220954,-0.07940298,-0.16195695,0.16296224,0.37997353,-0.015723035,0.14606439,-0.2982674
PIT,202202,0.13456775,-0.0842952,0.24028277,-0.20146045,-0.003933233,0.1108076,0.5359551,0.28487158,-0.014401029,0.011845625,0.035241295,-0.018438343,0.17836103,0.17073637,0.26948026,0.058237724,0.3744062,0.28278214,0.26681268,0.13043658
SEA,202202,-0.2677359,0.26796058,0.23517916,-0.48647618,-0.11915041,-0.33621103,0.7331689,0.27475202,0.23932973,0.27560183,-0.50043553,0.035685007,0.46857467,-0.15916201,-0.08112994,0.6803984,-0.14876066,0.23081632,0.07918577,-0.36102703
SFO,202202,0.28430358,-0.116980135,-0.7752925,0.47567376,0.5133849,-0.23031004,-0.3472999,-0.72632915,-0.46030605,-0.15639453,0.5119994,-0.56527305,-0.5104164,0.49957743,0.40791884,-0.41639397,-0.08980791,0.10251759,-0.41667446,0.48901737
TAM,202202,0.5056146,0.30627814,-0.6977184,0.46681482,-0.061201368,0.20258345,-0.21264902,0.24894677,-0.20364168,-0.52675277,0.030883195,0.02106433,-0.3509931,0.18948294,0.60218817,-0.069247074,-0.3828978,0.06554113,-0.45501807,0.062213454
WAS,202202,0.12390487,-0.13831237,0.07099358,-0.08280765,-0.17621532,0.14507239,0.4113015,0.09595571,0.15887527,-0.25192308,-0.5261049,0.21906552,0.24124274,-0.3034847,-0.7303956,-0.08205021,0.36500892,-0.5729267,0.26448005,-0.17719296
BUF,202202,0.53777856,-0.14079888,-0.5284375,0.2775599,-0.06596318,0.06490933,-0.3040481,0.26388,-0.17741694,-0.06716103,0.53952706,-0.5315023,-0.038815167,0.27450782,0.44727454,-0.23249526,0.33589333,-0.386693,-0.6442408,0.43386778
MIN,202202,-0.2820941,0.30619332,0.1545687,-0.37871814,-0.06889644,0.0004640705,0.6521038,0.34731883,0.07175394,0.16217543,-0.6872169,0.1387954,0.5097563,-0.3819061,-0.2802415,0.5200386,-0.038166083,0.2630816,0.2928486,-0.37735337
PHI,202202,0.5053808,-0.39159492,-0.479092,0.3899812,0.12673159,-0.17124575,-0.37817112,-0.45551082,-0.10271391,-0.4137045,0.42378002,-0.60770804,-0.5485373,0.41774336,0.5690652,-0.40603787,-0.05022213,-0.10176843,-0.59369624,0.4849297
OTI,202202,-0.5188708,0.47119763,0.17833894,-0.28032854,-0.0447058,0.51089215,0.7860227,0.20961626,0.18787451,0.18446198,-0.31412315,0.34652254,0.09396161,-0.6509743,-0.50500023,0.18701576,0.12163052,0.060982645,0.5873169,-0.35053298
CLE,202203,0.17720997,-0.293604,0.024380831,-0.15443121,0.068051115,-0.553522,-0.2535001,-0.60324705,0.0289882,-0.058126222,-0.17792352,0.39878726,0.29828522,0.26321578,-0.3504379,-0.64908385,-0.31615794,-0.2710709,0.33955264,-0.25321603
PIT,202203,-0.2989036,-0.15492056,0.24332286,0.0146339005,0.1274581,0.15917195,0.35372353,0.113628566,-0.0460674,-0.47896641,0.561126,-0.4235687,-0.16818164,-0.29390448,0.17048107,0.15699431,0.41325864,0.49237362,-0.05985433,0.629539
CRD,202203,-0.18455659,-0.38248172,0.19536586,0.40216222,0.20002665,0.19189501,0.11642788,0.044127733,0.19668128,-0.1078431,-0.5034531,0.013898556,-0.14026,-0.25532985,0.2256952,-0.05223933,-0.28963757,0.18920983,0.07833818,-0.3024991
ATL,202203,0.24124633,0.14596303,0.009369102,-0.57127696,0.19010504,0.039546963,-0.04885936,-0.43793616,0.017098513,-0.1558618,-0.17216362,0.24805826,-0.41064507,0.20723352,-0.40494648,-0.2275659,-0.14721219,-0.24324474,0.3913869,-0.19521943
RAV,202203,0.083540805,-0.25429314,0.2653133,-0.2697747,0.28802088,-0.28414112,-0.0058353315,-0.6163712,-0.033680208,-0.010774509,0.09997304,0.2551258,0.24489242,0.4914314,-0.50437444,-0.1998762,0.16707638,-0.17371103,0.16680585,0.0682824
BUF,202203,0.075412415,-0.2185846,0.37589365,0.13581735,-0.47995347,0.23159806,0.26221266,-0.20027022,0.0010925265,-0.25118428,-0.5102137,0.28319007,-0.26342145,-0.03841248,-0.32522634,0.02922536,-0.1891774,-0.4627919,0.6174876,-0.031915303
CAR,202203,0.04444771,0.26718953,-0.1891013,0.09673731,0.2561977,-0.694257,-0.63466495,0.1834952,-0.08666078,0.41706762,-0.0046118572,-0.3144831,0.37441787,0.30551842,0.06703917,-0.45383078,-0.37824693,-0.34300253,-0.008289523,-0.39884046
CHI,202203,-0.025195276,0.25398526,-0.23993814,0.23923981,0.02925232,-0.15378004,-0.6578577,0.5740594,0.15058966,-0.00045818812,0.49007198,0.17928374,0.33027124,-0.24470499,-0.18872708,0.28521642,0.06322782,0.11783747,0.47190705,0.41896617
