Team,Seasonweek,Result,Rate,Sk Yds,Rush Att,Rush Yds,TO,1stD,3D%,Def Cmp%,Def Sack Yds,Def Passer Rate,Def Rush Att,Rush 1st Allowed,Opp3D%,TD allowed,IAY,YAC,BadTh,Pressured,Yards After Contacts,Def Prss
BUF,20221,W,112.0,5,25,121,4,23,90.0,70.7,49,58.1,18,3,46.2,1,227,109,3,2,38,16
RAM,20221,L,63.1,49,18,52,3,19,46.2,83.9,5,111.3,25,7,90.0,4,239,75,7,15,17,2
CRD,20221,L,94.7,26,22,103,0,18,25.0,76.9,0,144.2,27,7,62.5,6,267,89,4,27,53,24
ATL,20221,L,79.7,0,38,201,2,26,38.5,67.6,35,106.7,19,5,30.8,3,282,78,8,3,53,13
RAV,20221,W,98.3,2,21,63,1,13,38.5,62.7,12,73.9,17,3,14.3,1,360,64,7,4,7,16
CAR,20221,L,84.6,28,19,54,1,15,36.4,52.9,9,72.9,39,11,44.4,2,167,121,3,7,25,9
CHI,20221,W,85.7,16,37,99,1,15,35.7,46.4,9,49.0,37,11,47.1,1,162,51,7,6,33,9
CIN,20221,L,61.7,39,34,133,5,32,50.0,55.3,2,78.0,22,4,26.7,2,357,153,8,14,17,7
CLE,20221,W,74.0,9,39,217,0,23,44.4,59.3,28,80.3,19,5,36.4,3,247,48,7,9,52,9
DAL,20221,L,53.5,25,18,71,1,12,20.0,66.7,17,84.6,33,9,35.7,1,357,44,15,16,35,7
DET,20221,L,80.3,10,28,181,1,23,64.3,56.3,4,80.1,39,13,58.8,5,306,109,9,5,90,11
GNB,20221,L,74.7,33,18,111,2,21,33.3,71.9,8,117.8,28,7,30.8,2,219,137,4,11,39,11
HTX,20221,T,98.9,18,28,77,1,20,33.3,64.0,12,82.1,38,11,40.0,2,266,63,8,8,19,13
CLT,20221,W,83.1,12,38,177,2,33,40.0,62.2,18,96.9,28,4,33.3,2,317,160,5,10,48,9
JAX,20221,L,75.0,15,18,123,1,24,25.0,65.9,8,100.2,28,7,70.0,4,366,69,9,11,51,4
KAN,20221,W,144.2,0,27,128,1,33,62.5,63.2,26,91.9,22,6,25.0,3,304,192,6,24,87,27
SDG,20221,W,129.4,0,31,76,0,18,42.9,59.5,39,64.7,13,1,45.5,2,235,120,5,7,52,13
RAI,20221,L,69.1,39,13,64,3,18,45.5,76.5,0,129.4,31,5,42.9,3,341,87,9,12,53,7
MIA,20221,W,104.4,28,23,65,0,18,42.9,70.0,20,84.4,22,5,44.4,1,275,90,7,15,46,5
MIN,20221,W,118.9,8,28,126,0,19,30.8,66.7,33,71.2,18,8,33.3,1,164,144,8,11,54,11
NOR,20221,W,111.0,35,19,151,1,18,30.8,60.6,0,79.7,38,13,38.5,2,298,27,5,10,74,4
NWE,20221,L,87.2,20,22,78,3,17,44.4,69.7,28,100.8,23,3,42.9,2,282,67,4,5,49,15
NYG,20221,W,115.9,32,32,238,2,19,20.0,60.6,0,106.4,26,2,27.3,2,120,60,2,16,127,11
NYJ,20221,L,74.8,12,17,83,2,24,14.3,56.7,2,98.1,21,4,38.5,3,286,127,11,15,15,5
PHI,20221,W,80.6,4,39,216,0,27,58.8,56.8,10,79.2,28,9,64.3,5,130,139,4,9,90,7
PIT,20221,W,78.2,2,22,75,0,13,26.7,62.3,39,58.6,34,5,50.0,2,301,75,9,7,7,14
SFO,20221,L,50.3,9,37,176,2,17,47.1,47.1,16,81.7,37,6,35.7,3,201,48,9,7,60,7
TAM,20221,W,87.3,17,33,152,1,18,35.7,50.0,25,51.0,18,4,20.0,0,305,70,5,7,55,16
OTI,20221,L,106.4,0,26,93,1,19,27.3,81.0,32,109.5,32,11,20.0,3,296,103,5,10,46,16
WAS,20221,W,101.0,8,28,85,3,26,70.0,57.1,15,73.5,18,6,25.0,2,290,170,8,4,20,12
DEN,20221,L,101.3,10,20,103,2,20,53.3,82.1,18,116.8,19,3,54.5,2,275,220,6,16,44,8
SEA,20221,W,119.5,18,19,76,1,19,54.5,69.0,10,100.3,20,5,53.3,1,144,71,2,8,54,16
KAN,20222,W,106.2,9,18,93,0,15,33.3,68.8,8,99.8,24,5,31.3,3,249,94,4,4,65,11
SDG,20222,L,100.5,8,24,75,1,21,31.3,68.6,9,105.2,18,2,33.3,3,235,170,5,11,39,4
CRD,20222,W,76.7,7,28,143,1,28,23.1,64.1,8,98.7,21,4,54.5,2,243,155,8,8,22,6
ATL,20222,L,81.6,25,27,90,3,17,30.0,75.0,0,100.7,26,6,60.0,4,207,57,5,7,59,1
RAV,20222,L,142.6,0,25,155,0,23,30.0,72.0,8,123.4,18,5,63.6,6,314,146,5,2,36,8
CAR,20222,L,74.6,16,23,146,2,18,16.7,64.7,14,85.7,33,8,33.3,1,222,45,9,7,64,10
CHI,20222,L,43.7,22,27,180,1,11,14.3,76.0,23,127.2,38,13,55.6,3,121,11,2,7,94,14
CIN,20222,L,89.9,34,25,89,0,19,35.3,61.3,5,94.8,27,7,30.0,2,201,74,4,13,26,9
CLE,20222,L,98.9,8,37,184,1,29,66.7,60.0,15,110.3,20,3,53.3,4,129,129,1,8,74,9
DAL,20222,W,95.5,5,27,107,1,19,30.0,66.7,34,86.0,25,3,35.3,1,178,111,7,9,32,13
DEN,20222,W,66.5,18,31,149,1,20,25.0,50.0,23,60.6,18,7,15.4,0,276,51,6,9,97,13
DET,20222,W,121.7,22,24,191,0,17,30.8,65.2,29,97.0,21,6,46.7,4,297,108,6,10,24,14
GNB,20222,W,131.1,23,38,203,1,26,55.6,63.6,22,35.4,27,9,14.3,1,139,107,2,13,118,8
HTX,20222,L,63.2,23,18,80,0,15,15.4,45.2,18,64.0,31,5,25.0,1,299,60,11,13,39,10
CLT,20222,L,34.0,31,13,54,3,9,20.0,83.3,0,121.5,37,6,40.0,3,256,33,5,16,23,4
JAX,20222,W,121.5,0,37,96,0,21,40.0,53.3,31,29.7,13,3,20.0,0,197,137,0,4,64,16
RAM,20222,W,100.7,0,26,65,3,24,60.0,65.4,25,77.6,27,4,30.0,2,249,122,4,1,46,7
