team,mlp_emb_0,mlp_emb_1,mlp_emb_2,mlp_emb_3,mlp_emb_4,mlp_emb_5,mlp_emb_6,mlp_emb_7,mlp_emb_8,mlp_emb_9,mlp_emb_10,mlp_emb_11,mlp_emb_12,mlp_emb_13,mlp_emb_14,mlp_emb_15,mlp_emb_16,mlp_emb_17,mlp_emb_18,mlp_emb_19,mlp_emb_20,mlp_emb_21,mlp_emb_22,mlp_emb_23,mlp_emb_24,mlp_emb_25,mlp_emb_26,mlp_emb_27,mlp_emb_28,mlp_emb_29,mlp_emb_30,mlp_emb_31
CRD,0.11099154,0.24337643,0.08633296,0.30836058,0.08324962,0.16471903,-0.36833835,-0.3267514,-0.17770837,0.11665732,0.14517407,-0.122703575,0.016606672,0.27286157,0.35594124,0.19375235,-0.20508331,0.09783416,0.06744731,0.3233487,-0.009850498,-0.25989956,-0.054240163,-0.15394706,0.26657492,-0.55694765,0.29025087,-0.13092802,-0.15471977,0.045719918,-0.09959994,0.21886343
ATL,1.1099224,0.5725469,-0.23887987,0.41945478,-0.31492198,0.0886894,-0.49116552,0.09137937,0.374041,0.5928494,0.59158385,0.1631822,-0.032028284,0.6057133,0.62437135,0.0774595,-1.3228372,0.2001196,0.23978528,0.8115226,-0.35543907,-0.46224773,0.47728324,0.4007338,0.29999563,-0.6587015,0.54752356,0.009715339,-0.615025,-0.42001534,-0.26077494,0.90737647
RAV,-0.090440266,0.33909407,0.1386331,-0.0033673116,0.0667309,0.16100322,0.13795021,-0.063597955,-0.17837553,0.3386801,0.12358016,0.05773667,-0.050667413,-0.3281355,-0.14017946,0.015924111,-0.07020298,0.17896447,-0.07374154,0.50248706,0.25438643,-0.16834302,0.07246799,0.07080815,0.21361138,-0.23577033,0.049659282,0.0519756,0.017063087,0.17076753,0.12348333,0.17095512
BUF,0.30331367,0.086263485,0.08217207,-0.027711995,0.15877026,-0.08219507,-0.036962878,-0.21362971,-0.20089136,0.14618936,0.30361906,0.06546664,0.2268871,0.16864008,0.33963183,0.23486817,-0.3845716,0.12846036,-0.03927718,0.3635204,-0.027469361,-0.06845629,0.057568543,0.03300095,0.17679873,-0.49031037,0.19264175,-0.15396202,-0.2560468,0.21564557,0.0053521954,0.31063887
CAR,0.20882426,0.4826178,-0.02471024,0.006253333,0.12834336,0.0031563058,-0.1318701,-0.12262716,0.0092357015,0.30984065,0.32387152,-0.06023679,0.0140118105,0.1775291,0.2404401,-0.009569067,-0.44073948,-0.09509048,0.053345125,0.31445983,-0.09093815,-0.2786912,0.14009479,0.43585348,0.12616646,-0.513194,-0.068053566,0.12524934,-0.2000637,0.09646935,-0.06557943,0.5146697
CHI,0.4876166,0.052745614,0.11311344,0.50337285,-0.3514488,0.02878482,-0.09329214,0.03785316,0.42847696,0.25552335,0.24819656,0.35342935,-0.17747682,0.26571387,-0.09740453,-1.482346e-05,-0.119260475,0.12843275,-0.2253825,0.22402051,0.03486914,-0.017850041,0.07924141,-0.26383793,-0.03627637,0.022233766,0.23582314,-0.18872021,-0.23225047,-0.449278,-0.1721512,0.25466377
CIN,0.425494,-0.001606181,0.12965047,-0.041690644,0.21961339,-0.16815849,0.023053553,-0.38251594,-0.17170186,0.20262991,0.31201342,-0.16427398,0.13399944,0.25348347,0.6017985,0.10512638,-0.38249606,-0.032404806,-0.02987924,0.40577894,-0.1232928,-0.35594797,-0.017752474,0.09220837,0.3881976,-0.47446194,0.16044456,-0.15815194,-0.40696746,0.24125163,-0.100890644,0.17589636
CLE,0.77426654,0.23716328,0.3002144,0.84848493,-0.39952067,0.849854,0.4495604,0.585831,1.0643858,0.4130816,-0.18721484,0.061190505,-0.25603208,-0.6545718,-0.57625985,-0.40500915,0.64470214,0.18054575,-0.8721626,0.26862642,0.47798494,-1.0366882,-0.42174548,-0.5225827,-0.0685509,0.2973457,0.92785126,0.3576739,0.35771227,-0.7359889,0.053393308,0.42252725
DAL,0.49504393,0.9225453,0.83142865,1.4075562,-0.44632867,0.9021786,0.44339064,0.347547,1.5725584,0.9801583,0.0991726,0.16546005,-0.8294575,-0.50461656,-0.6726101,-0.9200301,1.0649577,-0.02321449,-1.6281756,0.33842734,1.2169551,-1.0942612,-0.26657954,-0.836787,0.004002662,0.21209483,0.7129709,0.26661223,0.6619392,-0.97702724,-0.06916974,0.5006815
DEN,0.76274663,-0.030531742,-0.14125244,1.0291021,0.2976688,0.31434876,-0.1892678,-0.08466583,0.28786743,0.7880648,0.07561909,-0.09395373,0.50098395,0.7857013,0.5981716,0.13791826,0.33449933,-0.7691888,-0.49763772,0.25493655,0.19063519,-0.54720134,-0.57890046,-0.24628907,0.59818596,-0.9604816,-0.023681914,0.4381336,-0.46280524,-0.13957134,0.2504056,0.08977713
